Package_Name,Total_Paths,Total_Error,Total_ File_Descriptor,Python_Related_Keywords,Install_Package_Keywords,Root_DIR_Installation,Temporary_DIR_Installation,Home_DIR_Installation,User_Access,Sys_Access,Etc_DIR_Installation,Other_DIR_Installation,Level
py-cozi,61767,61767,32,3052,5732,497,133,1558,2253,1239,842,55245,0
pycparser,3685,3685,20,358,540,0,24,299,367,1183,111,1701,0
pycparserr-2.21.tar.gz,52083,52083,25,4712,6632,10,152,3410,3129,279,1952,43151,1
pycparserrr-2.21.tar.gz,115344,115344,24,3805,5730,2,213,2084,4598,601,2287,105559,1
pycparsre-2.21.tar.gz,122189,122189,29,4234,6180,0,239,2500,4013,1095,1237,113105,1
pycpep,60987,60987,32,3217,5621,503,71,1753,2193,1273,775,54419,0
py-cpord-1.0.0.tar.gz,107329,107329,45,8590,10454,1016,281,4907,4353,1141,973,94658,1
py-cppstd,19621,19621,26,115,3720,0,22,71,230,255,116,18927,0
py-cprd-1.0.0.tar.gz,77337,77337,21,8928,8401,1015,160,5374,4291,500,1298,64699,1
py-cpu,13621,13621,34,1550,3210,0,678,682,1760,1186,273,9042,0
py-cpucandy-2.71.tar.gz,132645,132645,26,11593,10933,520,237,7851,6423,788,2328,114498,1
py-cpuinfo,39132,39132,40,1890,6639,502,27,516,1592,617,655,35223,0
py-cpuintelsplit-5.19.tar.gz,72999,72999,25,4123,6130,11,93,3068,2616,484,952,65775,1
py-cpuintre-9.14.tar.gz,108320,108320,27,5825,7237,498,118,3294,3891,750,1082,98687,1
py-cpumask-7.15.tar.gz,57911,57911,22,5322,6653,507,94,3434,2528,480,468,50400,1
py-cpunvidiacraft-7.18.tar.gz,44811,44811,43,5680,7811,519,67,3484,2778,564,711,36688,1
py-cpupipgame-6.60.tar.gz,61084,61084,22,5427,7463,515,203,3484,2736,888,755,52503,1
py-cputools,52119,52119,27,3037,5628,497,31,1636,1880,1260,702,46113,0
py-cra,37337,37337,25,887,2810,0,26,774,540,84,101,35812,0
PyCrack,6633,6633,37,839,3992,4,176,313,615,52,200,5273,0
pycracker-1.0.0.tar.gz,22167,22167,20,2422,4771,0,123,1452,1454,207,232,18699,1
PyCraft,18248,18248,33,1356,3299,0,99,821,772,881,235,15440,0
py-craftadcandy-4.97.tar.gz,35402,35402,23,5159,5983,515,66,3484,2093,458,566,28220,1
pycraftco,4852,4852,25,1367,747,0,138,866,616,1116,130,1986,0
pycrafter,29313,29313,21,915,4321,0,56,685,446,633,98,27395,0
py-craftlib-2.25.tar.gz,52296,52296,43,5650,8839,519,67,3484,2830,669,727,44000,1
py-craftmine-6.11.tar.gz,41248,41248,21,5355,6114,515,66,3484,2311,559,590,33723,1
pycraft-minetest,7547,7547,31,1342,2740,0,132,835,677,1188,190,4525,0
py-craftnvidiamask-10.4.tar.gz,43363,43363,45,5698,7986,523,69,3486,3018,774,821,34672,1
pycraft-snu,3687,3687,14,642,555,0,169,309,327,1181,114,1587,0
py-craftstr-8.41.tar.gz,50289,50289,29,5385,7065,515,66,3485,2362,674,615,42572,1
py-craftstring-4.20.tar.gz,83866,83866,23,5385,7143,515,67,3485,2601,1132,687,75379,1
pycram,44614,44614,24,2387,5474,497,28,1065,1567,73,548,40836,0
py-crd-1.0.0.tar.gz,78648,78648,20,5937,7693,515,273,3797,2863,921,727,69552,1
pycripto-0.7.0-py3-none-any.tar.gz,3128,3128,18,98,2249,0,20,44,125,105,94,2740,1
py-crodd-1.0.0.tar.gz,94381,94381,25,1756,3976,0,109,1094,1459,1139,316,90264,1
pycrowd,3771,3771,10,709,528,0,155,327,394,1178,119,1598,0
pycrypt,9949,9949,19,1286,3619,0,100,580,1342,76,127,7724,0
pycryptaes,51273,51273,23,4118,7269,497,395,2302,1909,1225,840,44105,0
pycrypt-dev,7094,7094,23,1269,2675,0,124,784,571,1203,119,4293,0
pycryptdome-4.4.2.tar.gz,74715,74715,31,3126,3514,0,118,2599,1341,991,286,69380,1
pycrypte-0.0.0.tar.gz,57705,57705,36,13844,9753,557,509,10816,3581,984,884,40374,1
pycrypter,7782,7782,29,499,2979,0,23,430,383,60,131,6755,0
pycrypterexe-0.0.0.tar.gz,47822,47822,37,14251,11016,1058,1975,8843,4115,968,1072,29791,1
pycrypterexe-1.0.0.tar.gz,41532,41532,33,12024,9689,1083,317,8436,3623,975,981,26117,1
pycrypterexe-1.0.1.tar.gz,55025,55025,37,15772,10050,1068,371,11723,4702,788,1289,35084,1
pycrypterexe-1.0.2.tar.gz,45032,45032,34,18204,11035,1054,349,14238,4433,901,1041,23016,1
pycrypterexe-1.0.3.tar.gz,26108,26108,29,9002,7902,511,136,6953,2510,484,721,14793,1
pycrypterexe-1.0.5.tar.gz,61506,61506,54,17083,13762,1066,298,12823,5585,911,1881,38942,1
pycrypterexe-1.0.6.tar.gz,90004,90004,49,6245,8241,10,162,4792,3166,753,1449,79672,1
pycrypterexe-1.0.7.tar.gz,66016,66016,49,7358,8319,4,1802,4252,2763,896,677,55622,1
pycrypterexe-1.1.3.tar.gz,95077,95077,51,9329,9866,4,1862,6002,3134,1026,741,82308,1
pycrypterexe-1.1.4.tar.gz,78776,78776,35,11441,9244,515,1772,7730,2917,985,754,64103,1
pycrypterexe-1.1.5.tar.gz,77213,77213,39,15207,10174,1012,1782,10559,3757,994,961,58148,1
pycrypterexe-1.1.6.tar.gz,78336,78336,58,8565,9712,19,1839,5478,3051,917,800,66232,1
pycrypterexe-1.1.7.tar.gz,45790,45790,50,6763,8818,8,3305,2424,2392,970,482,36209,1
pycrypterexe-1.1.8.tar.gz,35157,35157,32,4551,5000,0,1726,2461,1314,952,234,28470,1
pycrypterexe-1.2.0.tar.gz,58773,58773,59,11574,10900,519,1775,7665,3209,966,839,43800,1
pycrypterexe-1.2.1.tar.gz,56829,56829,32,10299,9142,515,1753,6789,2743,964,783,43282,1
pycrypterexe-1.2.2.tar.gz,59011,59011,50,4855,6212,4,332,3220,2589,981,579,51306,1
pycrypterexe-1.2.3.tar.gz,57568,57568,47,3674,5887,4,335,2029,2607,991,583,51019,1
pycrypterexe-1.2.4,107705,107705,30,2854,4805,2,19,2136,2149,589,1083,101727,1
pycryptex,3510,3510,15,410,553,0,410,0,295,1180,97,1528,0
pycryptexe-1.1.3.tar.gz,64145,64145,40,9897,7496,515,126,7910,2758,888,725,51223,1
pycryptexe-1.1.4.tar.gz,61361,61361,35,8442,6412,515,125,6493,2728,705,711,50084,1
pycryptexe-1.1.5.tar.gz,62836,62836,38,10144,7498,515,173,8563,2565,987,777,49256,1
pycryptexe-1.1.6.tar.gz,77077,77077,55,12096,10803,519,255,9840,3564,928,1104,60867,1
pycrypting-1.0.12.tar.gz,52781,52781,33,8110,6487,497,188,6479,2048,608,436,42525,1
pycryption,20472,20472,21,2185,4346,0,897,1175,608,1089,204,16499,0
pycryptlib-1.0.0-py3-none-any.tar.gz,81248,81248,51,8857,9283,519,49,7270,2905,928,806,68771,1
pycryptlib-1.1.5-py3-none-any.tar.gz,49815,49815,37,7676,6330,515,39,6315,2085,693,600,39568,1
pycryptlibraryv3-0.6.tar.gz,38223,38223,29,7878,6297,515,120,6138,2270,494,640,28046,1
pycrypto,9166,9166,44,1443,3255,4,323,566,2019,1196,398,4660,0
pycryptocoin,11222,11222,38,836,4721,4,41,15,2389,242,236,8295,0
pycryptoconf-1.0.6.tar.gz,66467,66467,32,7917,6857,515,141,6260,2407,703,647,55794,1
pycryptocore,16150,16150,19,2601,4975,499,100,1286,1338,932,519,11476,0
pycryptodome,55298,55298,23,2690,5597,497,27,1469,1633,882,606,50184,0
pycryptodomes-4.4.2.tar.gz,32679,32679,34,2369,3388,0,118,1938,1202,882,292,28247,1
pycryptodomex,3967,3967,16,905,823,0,17,859,258,1180,106,1547,0
pycryptoenv-1.0.7.tar.gz,88511,88511,48,7218,6730,513,137,5823,2499,1030,591,77918,1
pycryptoex,68024,68024,32,2973,5738,501,45,1558,2204,1205,799,61712,0
pycryptographier-1.0.0-py3-none-any.tar.gz,50561,50561,54,7601,10032,515,90,6051,3429,909,1125,38442,1
pycryptographier-1.8.7-py3-none-any.tar.gz,30477,30477,34,6202,6667,515,52,5712,1961,860,584,20793,1
pycryptography-1.0.0-py3-none-any.tar.gz,31195,31195,57,7339,7952,515,50,5668,3217,783,683,20279,1
pycryptolibary-1.0.0-py3-none-any.tar.gz,18399,18399,29,4068,6397,18,72,3658,1193,313,475,12670,1
pycryptolibrary-1.0.0-py3-none-any.tar.gz,43184,43184,35,7174,7294,515,50,5635,2196,961,643,33184,1
pycryptolibrary-2.0.0-py3-none-any.tar.gz,11658,11658,27,3667,5428,2,26,3052,1373,196,725,6284,1
pycryptolibv2-1.0.0-py3-none-any.tar.gz,29520,29520,33,4446,5840,1,195,3331,2042,965,437,22549,1
pycryptomod,63460,63460,29,5510,6667,994,53,2947,3049,1260,1099,54058,0
pycrypton,3781,3781,20,643,586,0,95,343,442,1180,104,1617,0
pycryptopan,13217,13217,22,1251,2328,0,90,812,569,841,89,10816,0
pycryptostring,54289,54289,41,4998,8361,501,85,3661,1662,1089,640,46651,0
pycryptro-1.6.tar.gz,30629,30629,33,4445,5856,1,195,3332,2042,965,437,23657,1
pyctdev,85413,85413,38,3996,8516,497,174,1971,2820,1171,1269,77511,0
pycurd,11375,11375,26,2642,3528,0,373,1554,1199,1202,133,6914,0
py-cvcrafturl-4.12.tar.gz,90149,90149,23,12942,10772,1513,140,8153,5447,734,1496,72666,1
py-cvencode-5.69.tar.gz,66160,66160,22,10316,9604,1013,130,6694,4291,494,1229,52309,1
py-cvintpy-8.31.tar.gz,92920,92920,24,10950,10534,1018,109,7207,5064,740,1902,76880,1
py-cvposthydra-6.43.tar.gz,97234,97234,24,12106,11681,1022,288,8003,6130,634,1862,79295,1
py-cvsplit-9.82.tar.gz,88433,88433,20,10793,10762,1016,266,6983,5410,627,1804,72327,1
py-cvstrpyw-10.17.tar.gz,97949,97949,22,9850,9765,1016,113,6522,4539,641,1698,83420,1
py-cwrd-1.0.0.tar.gz,91886,91886,23,8051,8702,513,192,5483,4202,521,1627,79348,1
py-cwru,53155,53155,40,1657,4622,8,125,800,1554,1219,440,49009,0
py-cxrd-1.0.0.tar.gz,109534,109534,28,5116,6160,5,236,3431,3449,543,1276,100594,1
py-cyrd-1.0.0.tar.gz,81409,81409,46,3189,6499,4,213,1804,2519,518,756,75595,1
py-czrd-1.0.0.tar.gz,63596,63596,43,5085,7293,500,220,2578,3188,697,719,55694,1
pydantic,3872,3872,45,825,1563,8,62,388,723,52,219,2420,0
pydantic-core,2207,2207,12,882,1474,0,24,754,341,56,46,986,0
pydantic-pkgr,46381,46381,28,2196,5661,499,39,958,1553,1254,607,41471,0
py-database-url,30747,30747,27,2418,5458,499,84,1071,1599,116,748,26630,0
pydata-google-auth,754,754,18,267,252,0,139,110,237,64,51,153,0
pydatagraph,14090,14090,34,1474,2886,0,127,843,701,802,229,11388,0
pydcapi,3600,3600,19,379,516,0,132,222,348,1195,115,1588,0
pyddd,59494,59494,31,79,2348,0,29,35,500,1181,184,57565,0
py-ddd,5707,5707,28,1958,911,0,249,1168,782,1185,194,2129,0
pyddosprotect-1.0.0.tar.gz,6973,6973,17,163,2635,8,13,101,286,13,42,6510,1
pydebugstring,7655,7655,45,457,2738,4,17,383,433,1200,141,5477,0
pydeequ,7260,7260,21,1273,3390,0,72,1002,517,57,111,5501,0
pydefender-1.0.0.tar.gz,37877,37877,35,9183,4255,0,447,8246,1634,969,238,26343,1
pydefender-1.0.1.tar.gz,50635,50635,37,10682,7302,515,766,7455,3479,963,860,36597,1
pydefender-1.0.2.tar.gz,68694,68694,36,13359,9679,515,2295,8742,3435,978,755,51974,1
pydefender-1.0.3.tar.gz,77310,77310,51,14486,11639,519,2293,9378,4323,927,1003,58867,1
pydefender-1.0.4.tar.gz,74814,74814,39,18304,11636,474,2550,12523,5215,988,1023,52041,1
pydefender-1.0.5.tar.gz,59621,59621,41,16233,12047,472,2617,10700,4551,991,1105,39185,1
pydefender-1.0.6.tar.gz,92043,92043,49,18073,12011,516,1674,11689,6895,1007,1371,68891,1
pydefender-1.0.7.tar.gz,78863,78863,52,16333,13038,519,2613,10252,5483,988,1490,57518,1
pydefendermalware123-1.5.tar.gz,32496,32496,48,3701,5782,97,182,2585,2145,950,365,26172,1
pydefenderpro-1.0.0.tar.gz,117636,117636,31,5130,6055,0,1662,3289,1533,1031,350,109771,1
pydefenderultra-1.0.0.tar.gz,49944,49944,20,4910,7158,508,55,3071,2451,327,782,42750,1
pydefenderultra-1.0.1.tar.gz,52308,52308,24,13152,11626,1523,181,8316,5373,437,1450,35028,1
py-dep-graph,57035,57035,23,282,3510,0,12,22,980,1037,610,54374,0
pydesign,22519,22519,20,592,3991,0,23,291,930,614,553,20108,0
pydesings-2.9.tar.gz,74271,74271,26,13921,11629,1523,228,8791,6311,543,2187,54688,1
pyDetectRight,5982,5982,31,353,1343,0,41,141,451,1253,127,3969,0
pydgilib,53317,53317,25,3509,6552,497,126,2009,1657,890,668,47470,0
pydiblis-0.7-py3-none-any.tar.gz,55636,55636,24,3834,6500,255,47,2652,2723,340,1360,48259,1
pydinogame,15900,15900,46,899,3813,4,107,330,947,1147,301,13064,0
pydiscordbio,77635,77635,43,3820,8085,505,199,1731,3010,1242,1064,69884,0
PyDiscordBot,18037,18037,30,756,2804,0,128,333,498,1230,190,15658,0
pydiscordclient,38550,38550,22,1224,3156,0,97,761,802,1206,228,35456,0
pydiscordclient-0.2.1.tar.gz,46349,46349,22,6388,7655,498,208,3964,3037,340,785,37517,1
pydiscordclient-0.2.2.tar.gz,73218,73218,25,7233,8222,508,233,4483,4276,460,1564,61694,1
pydiscordion-1.0.tar.gz,72055,72055,25,6990,8040,508,230,4439,4052,465,1392,60969,1
py-discover,3804,3804,16,721,600,0,172,361,361,1194,122,1594,0
pydisk2-0.0.0-py3-none-any.tar.gz,28698,28698,19,1719,4996,4,46,1428,996,226,370,25628,1
pydisk3-0.0.0-py3-none-any.tar.gz,36613,36613,21,1134,5800,4,14,410,1559,223,644,33759,1
pydislib-0.7-py3-none-any.tar.gz,176176,176176,35,4266,5501,0,20,4111,1419,1070,406,169150,1
pydist2,3323,3323,13,141,329,0,23,101,354,1141,130,1574,0
pydistlib-0.4-py3-none-any.tar.gz,21163,21163,24,624,2628,0,16,401,681,393,154,19518,1
pydistoolhebs-0.0.1-py3-none-any.tar.gz,59264,59264,26,4553,5659,515,46,3100,2064,795,644,52100,1
pydistrib,61591,61591,39,1891,6272,501,27,517,1664,984,640,57258,0
py-distrib,46939,46939,27,1296,2334,0,122,805,770,164,171,44907,0
py-dmidecode,33926,33926,24,1885,5135,497,27,675,1376,54,525,30772,0
pydob,23676,23676,30,1685,3237,0,126,866,711,1206,197,20570,0
pydobc-4.4.7.tar.gz,81439,81439,28,2054,3387,0,119,1369,1543,997,368,77043,1
pydobe,58280,58280,30,3248,6383,503,35,1817,2091,1195,733,51906,0
pydocstyle,5164,5164,21,1237,1311,2,67,1091,449,1152,151,2252,0
pydprotect-3.5.6.tar.gz,35507,35507,26,5814,5830,515,118,3883,2401,764,681,27145,1
pydracula,67431,67431,50,4510,6448,995,74,1924,3139,1170,1346,58783,0
pydrama,40644,40644,31,1845,4971,497,36,633,1401,635,619,36823,0
pydraughts,59170,59170,26,2953,5449,501,28,1552,1968,1170,747,53204,0
pydread,54501,54501,43,1668,4646,4,108,1000,1273,1222,355,50539,0
pydrever,54726,54726,39,4377,8627,505,1401,1504,2267,107,860,48082,0
py-dspinlock,42202,42202,25,2493,5133,499,104,1175,1582,101,623,38118,0
pydstools,55080,55080,41,516,4394,8,24,210,1290,1221,367,51960,0
pyducontrol-csongoose,90558,90558,28,3283,5979,497,52,1859,2265,1275,813,83797,0
py-easy-scrape,49304,49304,26,3220,6175,501,51,1812,1889,1228,748,43075,0
py-edpipcc-6.31.tar.gz,38508,38508,24,5167,6127,515,67,3484,2067,563,553,31259,1
pyedpro,67437,67437,46,5970,8808,1002,171,2998,3629,1237,1366,57034,0
py-edproof-4.35.tar.gz,94404,94404,28,7189,7739,1012,74,4145,3362,1041,780,83990,1
py-edpush-5.43.tar.gz,76026,76026,24,7086,8317,519,87,4878,3458,610,1286,65188,1
py-edpushinfo-2.82.tar.gz,89091,89091,46,5650,9058,519,68,3484,3027,1134,808,80051,1
py-edreplace-1.97.tar.gz,89855,89855,22,4331,5967,10,93,2910,3191,417,1225,82009,1
pyefflorer-1.0.1.tar.gz,36825,36825,26,5777,5983,515,148,3841,2327,772,624,28598,1
pyelf,22527,22527,23,1753,4894,497,8,570,1143,461,463,19385,0
py-elvis,6216,6216,20,2466,3315,497,138,1298,1012,498,369,2404,0
pyemailtracker,32367,32367,52,1720,6902,4,88,786,1206,1306,404,28573,0
PyENCODE,25074,25074,54,1989,3267,0,201,867,954,156,156,22740,0
py-encodehackeded-3.44.tar.gz,38665,38665,23,5149,6166,515,66,3484,2063,557,576,31404,1
py-encodelib-7.59.tar.gz,46159,46159,44,5648,8259,519,67,3483,2781,559,714,38036,1
py-encodeping-7.64.tar.gz,86861,86861,22,6581,8487,509,73,4423,3165,576,1150,76965,1
py-encodeproof-7.58.tar.gz,61461,61461,22,2170,4581,0,67,1440,1586,404,304,57660,1
py-encodeproof-9.45.tar.gz,62021,62021,21,2438,4232,0,73,1564,1758,481,286,57859,1
py-encodeproofreplace-9.68.tar.gz,57422,57422,22,5385,6957,515,67,3485,2453,784,633,49485,1
pyencoder,19760,19760,40,1913,6068,501,23,534,1448,369,545,16340,0
py-encoderam-9.12.tar.gz,62021,62021,23,5385,6988,515,67,3484,2430,804,637,54084,1
py-encodestring-9.62.tar.gz,64680,64680,46,5650,8892,519,67,3484,2872,797,749,56192,1
py-encodeurl-2.79.tar.gz,40742,40742,22,5321,7080,515,202,3484,2441,564,642,32894,1
py-encodevirtualgui-5.84.tar.gz,53557,53557,28,5385,7060,515,67,3487,2387,790,621,45690,1
pyeobf,58775,58775,43,3377,7459,510,34,1709,2767,1203,903,51649,0
py-epic,75181,75181,45,4888,8384,998,175,2355,3142,1155,1259,66097,0
py-epoll,15331,15331,35,1916,4189,0,127,987,1873,1106,201,11037,0
pyepr,474,474,17,132,140,0,21,98,69,52,45,189,0
pyequion,1920,1920,22,1289,700,0,268,675,541,52,40,344,0
pyer,33921,33921,14,1902,3955,2,63,1833,298,475,84,31166,0
pyespeak,19522,19522,46,1839,6544,501,8,485,1434,465,576,16053,0
py-etcd,3804,3804,23,634,558,0,134,330,380,1180,123,1657,0
pyetheroll,3654,3654,25,25,345,0,4,83,215,1189,151,2012,0
pyevas,1311,1311,28,579,711,0,5,516,301,62,49,378,0
pyevasive-0.0.0.tar.gz,51699,51699,25,2257,3364,0,235,1468,1309,976,307,47404,1
pyexecute,23398,23398,22,1147,4914,0,95,656,386,451,141,21669,0
py-execute,24802,24802,33,2578,4901,0,213,1536,1162,1238,291,20362,0
pyexplorer,72675,72675,28,14,2142,0,4,11,802,1268,270,70320,0
pyezstyle-1.0.tar.gz,74586,74586,29,5236,6937,515,71,3369,2561,900,749,66421,1
pyf.components.postprocess.files_post_handler,6373,6373,31,576,3121,0,39,118,1629,1214,117,3256,0
pyfastcode-1.0.0.tar.gz,33469,33469,29,4798,5792,515,57,3204,1900,957,340,26496,1
pyfastcom,2446,2446,40,487,1557,4,177,111,556,64,139,1395,0
pyfastcore,65138,65138,30,3267,5583,497,186,1707,2214,1248,778,58508,0
pyfastdownload-1.0.0.tar.gz,86483,86483,25,5043,6935,515,57,3208,2543,1007,700,78453,1
pyfiglet,75453,75453,27,4415,6888,497,74,2915,2444,1275,815,67433,0
pyfil,1443,1443,16,780,868,0,26,679,314,53,51,320,0
pyfilget-1.0.5.tar.gz,28157,28157,34,1893,3241,0,93,1184,1305,975,301,24299,1
pyfinn,794,794,21,230,298,0,231,2,103,48,96,314,0
pyfiscalprinter,13231,13231,20,14,2170,0,4,5,111,258,37,12816,0
pyfit,2767,2767,12,0,2204,0,0,0,20,115,11,2621,0
pyflakes,1610,1610,24,965,1039,0,26,855,343,52,51,283,0
pyfleet,5725,5725,34,914,1176,0,137,456,673,1242,190,3027,0
PyFlume,11974,11974,22,6655,4394,0,388,5355,1243,1126,134,3728,0
pyfont,3026,3026,41,787,1930,4,25,521,615,55,147,1659,0
pyfontinglib-1.0.0.tar.gz,68476,68476,27,10135,9211,1016,171,6574,4421,460,1483,54351,1
pyfontingpkgv1-1.0.0-py3-none-any.tar.gz,52491,52491,27,7399,8097,1009,106,4530,3172,415,1007,42252,1
pyfontingtoolsv1-1.0.0-py3-none-any.tar.gz,82526,82526,23,10270,10068,1018,94,6621,5200,544,1820,67229,1
pyfonts,1834,1834,18,369,1135,0,109,226,260,65,42,1132,0
pyfontslibrary-1.0.0-py3-none-any.tar.gz,43896,43896,22,6717,8538,510,65,4934,2865,331,1176,34015,1
pyfontslibraryv1-1.0.0-py3-none-any.tar.gz,65316,65316,26,5542,7511,515,51,3500,3213,435,1206,56396,1
pyfontslibraryv1-1.2.0-py3-none-any.tar.gz,71654,71654,24,6150,8073,518,78,3942,3691,367,1536,61522,1
pyfontslibv2-0.1.0-py3-none-any.tar.gz,56758,56758,23,4039,6754,11,52,3186,2443,321,1047,49698,1
pyfores-0.0.1-py3-none-any.tar.gz,79593,79593,32,625,2826,0,19,417,939,124,220,77874,1
pyforest,12485,12485,24,1702,2868,4,157,1035,778,1191,190,9130,0
pyfx-dev,9479,9479,35,790,1782,0,157,365,532,1247,205,6973,0
pyg,50035,50035,24,359,2204,0,87,119,521,120,108,49080,0
pyga,8617,8617,18,1706,3150,0,56,1593,355,64,109,6440,0
pygaame-0.1.tar.gz,40005,40005,28,13524,11115,2574,265,7458,4881,81,974,23772,1
pygac,37241,37241,30,542,2554,0,89,275,658,101,157,35961,0
PyGacme-1.0.0.tar.gz,38492,38492,20,9932,8948,1015,166,6496,3810,419,1115,25471,1
pygae-0.1.tar.gz,104083,104083,28,18360,13346,2560,349,10901,7552,163,1784,80774,1
pygaem-0.1.tar.gz,79356,79356,24,5508,6236,11,212,3882,3067,561,869,70754,1
PyGaeme-1.0.0.tar.gz,101003,101003,28,10254,9112,554,418,6650,5035,859,1470,86017,1
pygaime-1.0.0.tar.gz,25835,25835,25,6120,6402,553,220,4078,2185,403,566,17830,1
pygain,7704,7704,33,503,2408,0,41,272,508,79,112,6692,0
pygam,3153,3153,39,1286,2404,4,71,920,657,67,126,1308,0
pygame,61184,61184,45,3989,8217,501,26,2428,2242,1064,802,54121,0
pygamecre,28568,28568,25,4814,6699,0,294,4100,768,1205,167,22034,0
py-gamecv-10.92.tar.gz,54246,54246,44,5650,8937,519,67,3484,2814,672,732,45958,1
pygamee-0.1.tar.gz,90829,90829,28,14084,11973,1363,334,9113,5965,139,1502,72413,1
pygamehack,6238,6238,47,1714,1431,1,140,1000,944,1217,171,2765,0
pygame-input,6575,6575,19,83,1879,0,11,56,300,58,97,6053,0
pygameinputs,62568,62568,30,3063,6772,498,48,1522,2209,1204,820,56267,0
pygame-install-17.14.20.tar.gz,38374,38374,23,3405,5451,36,150,2374,1595,408,568,33243,1
py-gameintelpull-8.99.tar.gz,34903,34903,22,5385,6381,515,66,3484,2287,553,590,27408,1
pygame-orion,33990,33990,29,3690,6481,497,39,2427,1577,627,623,28200,0
pygame-pgu,7849,7849,18,960,2767,0,387,385,479,60,103,6435,0
py-gameping-9.39.tar.gz,46418,46418,26,5648,8826,518,67,3483,2769,668,712,38201,1
pygamepp,9703,9703,50,684,2916,4,65,336,758,1222,211,7107,0
pygame-Print-15.0.6.tar.gz,25437,25437,23,8723,8716,1039,179,5592,2872,237,648,14870,1
pygame-pytorch-3.4.19.tar.gz,85743,85743,24,2439,4908,1,81,1377,2424,474,841,80545,1
py-gameram-8.68.tar.gz,34411,34411,40,5698,8016,523,68,3484,2905,453,786,26192,1
py-gamerepong-6.70.tar.gz,87950,87950,29,1219,3400,0,39,796,1244,1129,297,84445,1
py-games,5653,5653,24,775,2870,0,44,410,856,494,243,3606,0
pygamescript,71919,71919,28,2902,6135,501,45,1490,2052,1266,705,65860,0
pygame-shaders,3829,3829,20,447,1315,1,43,214,527,147,144,2753,0
pygametiny,47005,47005,23,2322,5759,497,140,869,2026,1105,887,41481,0
pygameyagui,12903,12903,19,1764,4138,0,37,404,8172,711,105,3474,0
pygamke-1.0.0.tar.gz,47502,47502,33,2647,3879,0,132,1605,1961,992,430,42382,1
Pygamm-1.0.0.tar.gz,38476,38476,24,5855,6140,515,137,3797,2455,408,585,30579,1
pygamma,53059,53059,19,1235,3137,0,9,1019,832,123,192,50884,0
pygamme-0.1.tar.gz,41821,41821,27,8193,8982,1280,164,4737,3332,68,838,31402,1
PyGamne-1.0.0.tar.gz,42218,42218,26,5915,7089,515,137,3797,2487,501,603,34178,1
PyGamr-1.0.0.tar.gz,59902,59902,44,6172,8341,519,138,3797,3014,603,747,51084,1
PyGamse-1.0.0.tar.gz,43127,43127,41,6131,7824,518,138,3797,2866,503,707,34598,1
PyGamw-1.0.0.tar.gz,103562,103562,28,3990,5655,12,135,2740,3097,580,1415,95583,1
pygan,7930,7930,26,1718,2844,0,508,837,693,140,112,5640,0
PyGane-1.0.0.tar.gz,135572,135572,30,9779,8814,515,392,6377,5179,877,1464,120768,1
PyGaome-1.0.0.tar.gz,123189,123189,30,9444,8623,515,358,5992,5064,875,1330,109055,1
PyGAopt,0,0,0,0,0,0,0,0,0,0,0,0,0
PyGaqme-1.0.0.tar.gz,68737,68737,28,6529,7281,515,184,4216,2836,622,674,59690,1
PyGarme-1.0.0.tar.gz,42009,42009,23,3299,4858,10,128,2340,1753,342,688,36748,1
pygarment,778,778,9,50,423,0,50,0,42,49,42,595,0
PyGawme-1.0.0.tar.gz,39238,39238,24,5832,5979,515,137,3797,2477,492,653,31167,1
pygayme,4631,4631,28,970,1068,2,92,818,393,1230,114,1982,0
PyGazme-1.0.0.tar.gz,30500,30500,40,6112,7811,519,138,3799,2806,468,686,22084,1
pygem,27520,27520,36,1376,3420,0,303,471,725,1201,190,24630,0
pyg-encoders,5827,5827,43,389,1944,5,107,77,579,1172,224,3663,0
pygenderbr,25825,25825,30,1015,2607,0,96,349,527,1161,213,23479,0
PyGeneratePassword,1194,1194,25,411,561,0,23,332,297,4,51,487,0
py-geohash-any,50464,50464,19,1832,3555,0,79,1196,1113,1117,189,46770,0
pygeoip,31698,31698,21,242,3665,0,4,9,707,967,493,29518,0
py-getcandy-7.40.tar.gz,53669,53669,44,5650,8980,519,67,3483,2891,677,729,45303,1
py-getccre-10.95.tar.gz,42375,42375,24,5385,7140,515,66,3484,2346,657,601,34706,1
py-getch,27061,27061,30,1528,3226,0,134,986,1032,1104,225,23580,0
py-getcrafttool-3.31.tar.gz,28165,28165,22,5141,6164,515,66,3484,2003,444,526,21127,1
py-getcvad-4.15.tar.gz,102197,102197,44,7746,10497,1016,211,4446,4014,1142,1017,90351,1
py-geth,1377,1377,12,984,863,0,162,765,279,48,38,85,0
py-getlib-4.25.tar.gz,90918,90918,28,5400,7872,515,202,3486,2815,1136,754,82010,1
py-getstr-3.86.tar.gz,75866,75866,22,9201,9194,1015,90,6099,3826,519,1175,63142,1
py-getter,58660,58660,27,2180,5003,497,28,862,1701,1245,646,53681,0
pygfame-1.0.0.tar.gz,56122,56122,28,5915,6928,515,138,3797,2556,697,631,47788,1
pygfapi,2495,2495,23,656,1654,1,3,338,497,70,153,1433,0
PyGfme-1.0.0.tar.gz,27118,27118,28,5675,5942,515,137,3796,2176,485,515,19494,1
pygfx,1001,1001,11,518,501,0,94,385,263,51,58,150,0
pygga,11054,11054,39,870,4172,8,25,428,974,34,246,9339,0
